SI,count,hate_speech,offensive_language,neither,class,tweet
1,3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
2,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
3,3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
4,3,2,1,0,0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race"
5,3,2,1,0,0,"""poor whitey"" http://t.co/3UkKeyznz8"
6,3,2,0,1,0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding"
7,3,3,0,0,0,#California is full of white trash
8,3,2,1,0,0,#California is full of white trash who moved from #Oklahoma
9,3,2,0,1,0,#DTLA is trash because of non-Europeans are allowed to live there.
10,3,2,0,1,0,#Dutch farmers are white trash.
11,3,3,0,0,0,#Dutch people who live outside of #NewYorkCity are all white trash.
12,3,2,1,0,0,#Iowa is full of white trash
13,3,2,1,0,0,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;
14,3,3,0,0,0,#Minnesota is full of white trash
15,3,2,1,0,0,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies
16,3,2,1,0,0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome"
17,3,2,1,0,0,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day"
18,3,2,1,0,0,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?
19,3,3,0,0,0,#SouthCarolina is full of white trash
20,3,2,1,0,0,@AyeFuckWoody @coryburgess87 do i literally eat asshole for a living? is that what i actually do faggot? You seem a little confused..
21,3,2,1,0,0,"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room"
22,3,2,1,0,0,@BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it
23,3,2,1,0,0,@Barbod6FCB @_cblaze @ODDBEAST cracker jack shut the fuck up
